Timestamp,Engine RPM,Box RPM
64853372, 3037, 277
64870444, 3040, 277
64874880, 3040, 278
64887596, 3027, 278
64906396, 3035, 269
64921844, 3027, 269
64935548, 3027, 291
64956012, 3034, 291
64965908, 3034, 279
64990200, 3034, 279
64996016, 3034, 281
65007280, 3039, 281
65024436, 3026, 281
65026132, 3026, 281
65041544, 3034, 281
65055820, 3034, 285
65058744, 3018, 285
65075884, 3028, 285
65085876, 3028, 281
65093056, 3023, 281
65110192, 3029, 281
65115636, 3029, 285
65127364, 3023, 285
65144488, 3031, 285
65146188, 3031, 277
65161636, 3027, 277
65174716, 3027, 297
65178776, 3028, 297
65195944, 3023, 297
65204036, 3023, 289
65213076, 3030, 289
65230248, 3023, 289
65233484, 3023, 287
65262976, 3019, 287
65264680, 3011, 287
65281784, 3034, 287
65316144, 3025, 288
65321420, 3025, 291
65333352, 3016, 291
65350212, 3016, 294
65367788, 1507, 294
65384960, 3023, 293
65402244, 3003, 293
65419456, 3015, 292
65438444, 3002, 278
65453960, 3016, 278
65466180, 3016, 305
65471204, 3010, 305
65494804, 3021, 296
65505608, 3015, 296
65522800, 3019, 296
65524496, 3019, 285
65540044, 3010, 285
65551824, 3010, 309
65557240, 3019, 309
65574484, 3010, 309
65580460, 3010, 296
65591720, 3012, 296
65610664, 3008, 280
65626212, 3012, 280
65637692, 3012, 314
65643468, 3008, 314
65660652, 3021, 314
65666024, 3021, 298
65677884, 3012, 298
65694012, 3012, 303
65712308, 1507, 303
65722324, 1507, 299
65729528, 3015, 299
65746792, 3007, 299
65750332, 3007, 302
65764016, 3014, 302
65781308, 3002, 299
65798548, 3011, 299
65806964, 3011, 298
65815800, 3008, 298
65833012, 3015, 298
65867444, 3019, 303
65884692, 3009, 303
65890440, 3009, 306
65901896, 3017, 306
65918260, 3017, 304
65936324, 1507, 304
65946148, 1507, 303
65953588, 3007, 303
65970792, 3017, 303
65973928, 3017, 305
65988076, 3003, 305
66001644, 3003, 305
66022556, 1505, 305
66029068, 1505, 308
66039760, 3017, 308
66056592, 3017, 308
66074256, 1504, 308
66083980, 1504, 309
66091520, 3007, 309
66108788, 3006, 309
66111484, 3006, 308
66126108, 2997, 308
66139008, 2997, 308
66143404, 3002, 308
66160720, 2998, 308
66177948, 3013, 308
66193748, 3013, 310
66195440, 2968, 310
66212444, 3053, 310
66220964, 3053, 311
66229672, 3013, 311
66246924, 3008, 311
66248612, 3008, 306
66264200, 3005, 306
66275272, 3005, 318
66281496, 3002, 318
66298780, 3003, 318
66316064, 3003, 310
66329872, 3003, 310
66333328, 3007, 310
66350508, 3021, 310
66356756, 3021, 314
66367756, 3009, 314
66419468, 3015, 315
66436788, 2997, 315
66471324, 3002, 323
66488560, 3012, 323
66491492, 3012, 316
66505844, 3003, 316
66518056, 3003, 319
66523008, 3024, 319
66540232, 3014, 319
66544744, 3014, 317
66574732, 3001, 316
66591944, 3015, 316
66598288, 3015, 316
66609232, 3002, 316
66624956, 3002, 317
66626656, 2979, 317
66643752, 3036, 317
66651608, 3036, 318
66660944, 3019, 318
66678132, 3019, 319
66695440, 1504, 319
66704664, 1504, 319
66712704, 3007, 319
66729980, 3005, 319
66731676, 3005, 314
66747288, 2999, 314
66757712, 2999, 325
66764584, 3002, 325
66781924, 2994, 325
66799204, 3004, 319
66811052, 3004, 315
66816500, 3002, 315
66833732, 3012, 315
66837000, 3012, 326
66863224, 3003, 323
66868244, 3013, 323
66885524, 3004, 323
66889396, 3004, 324
66902788, 3007, 324
66915860, 3007, 319
66920148, 2990, 319
66937400, 3008, 319
66942244, 3008, 321
66954732, 2995, 321
66968432, 2995, 323
66971960, 3013, 323
66989244, 3003, 323
67020376, 3019, 326
67023668, 3012, 326
67040916, 3009, 326
67046324, 3009, 326
67058188, 3005, 326
67072156, 3005, 328
67075444, 3008, 328
67092720, 3005, 328
67098460, 3005, 322
67109928, 3016, 322
67124392, 3016, 326
67127180, 3008, 326
67144364, 3021, 326
67150044, 3021, 330
67161604, 3011, 330
67175608, 3011, 331
67196080, 1505, 331
67201288, 1505, 330
67213344, 3007, 330
67227272, 3007, 325
67230656, 2998, 325
67247904, 3009, 325
67253320, 3009, 325
67265172, 3006, 325
67278976, 3006, 330
67282396, 3014, 330
67299616, 3015, 330
67304492, 3015, 331
67330180, 3019, 330
67334064, 3008, 330
67351288, 3014, 330
67355732, 3014, 331
67368616, 2995, 331
67385876, 3008, 330
67403196, 2997, 330
67432928, 3019, 328
67437620, 3013, 328
67454776, 3026, 328
67458044, 3026, 337
67471968, 3019, 337
67483212, 3019, 336
67489096, 3031, 336
67506368, 3005, 336
